NAME,R_T,ResTime,Benz2AcidRatio,NByield,DNByield,CO2e,TOTALCOST
TYPE,DATA,DATA,DATA,DATA,DATA,DATA,DATA
0,65,9.13007826,0.786051914,60.51774287,0.000241473,11.297428,15090.6425
1,65,8.48416738,0.698712812,67.83547846,0.000341052,13.0533685,15750.4457
2,65,7.91106555,0.628841531,75.06645264,0.000470143,15.2118506,16411.5491
3,65,7.3954848,0.571674119,82.20697884,0.000632829,17.9003978,17078.292
4,65,6.93137702,0.524034609,89.24288784,0.000833165,20.9911936,17749.5946
5,65,10.0436988,0.786051914,60.55205507,0.000241942,11.2962896,15447.4261
6,65,9.33372116,0.698712812,67.8837066,0.000342018,13.0492361,16107.4267
7,65,8.70429971,0.628841531,75.13188629,0.000472159,15.1994933,16768.2984
8,65,8.13880155,0.571674119,82.29172375,0.000637059,17.8700379,17433.5805
9,65,7.63016208,0.524034609,89.34825865,0.000841605,20.9324026,18102.593
10,65,10.9573207,0.786051914,60.58073371,0.000242334,11.2953442,15786.5826
11,65,10.1832806,0.698712812,67.92403823,0.000342828,13.0457695,16446.7486
12,65,9.49755451,0.628841531,75.18661642,0.000473855,15.18904,17107.4223
13,65,8.88216482,0.571674119,82.36294952,0.000640654,17.84446,17771.4755
14,65,8.32903265,0.524034609,89.43731347,0.00084886,20.8826526,18443.697
15,65,11.8709459,0.786051914,60.60499229,0.000242667,11.2945225,16110.3693
16,65,11.0328445,0.698712812,67.95827115,0.000343517,13.0428223,16770.6777
17,65,10.2908194,0.628841531,75.23327662,0.000475304,15.1801682,17431.1874
18,65,9.6255612,0.571674119,82.42385512,0.000643749,17.8226874,18094.1901
19,65,9.02797286,0.524034609,89.5135227,0.000855166,20.8399626,18764.831
20,65,12.7845687,0.786051914,60.62590761,0.000242954,11.2938506,16420.6092
21,65,11.8824116,0.698712812,67.98769695,0.000344111,13.0402874,17081.0377
22,65,11.0841002,0.628841531,75.27386466,0.00047653,15.1750304,17741.4008
23,65,10.3689888,0.571674119,82.47629534,0.000646441,17.803837,18403.4982
24,65,9.72696669,0.524034609,89.57966269,0.000860701,20.8029963,19072.7819
25,70,9.08775795,0.786051914,60.54989171,0.000286806,11.289597,14693.1535
26,70,8.4464436,0.698712812,67.88125676,0.000405626,13.0362836,15322.9692
27,70,7.87827833,0.628841531,75.1286061,0.000560488,15.1732343,15950.8704
28,70,7.36840112,0.571674119,82.28621361,0.000757579,17.8193663,16588.1654
29,70,6.91007032,0.524034609,89.33791094,0.00100353,20.8472977,17228.5796
30,70,9.99704451,0.786051914,60.5783405,0.000287268,11.2886474,15049.5773
31,70,9.29203744,0.698712812,67.92128453,0.000406582,13.0328178,15679.5389
32,70,8.66789232,0.628841531,75.18343758,0.000562489,15.1653229,16307.738
33,70,8.10842689,0.571674119,82.35708475,0.00076186,17.7937696,16943.3202
34,70,7.60588988,0.524034609,89.42630355,0.001012255,20.797049,17581.8583
35,70,10.9063328,0.786051914,60.60207787,0.000287654,11.2878491,15388.4322
36,70,10.1376351,0.698712812,67.95474705,0.000407382,13.0299171,16018.5167
37,70,9.45751863,0.628841531,75.22871205,0.000564179,15.1540197,16646.9652
38,70,8.84848296,0.571674119,82.41647592,0.000765489,17.7722768,17281.1114
39,70,8.30177112,0.524034609,89.50092219,0.001019725,20.7546351,17918.073
40,70,11.815622,0.786051914,60.62219916,0.000287982,11.2871729,15711.9646
41,70,10.983236,0.698712812,67.98312534,0.000408063,13.0274503,16342.1536
42,70,10.2471572,0.628841531,75.26737108,0.000565615,15.1465007,16970.8111
43,70,9.58856946,0.571674119,82.46706133,0.000768602,17.7538785,17603.7307
44,70,8.99770288,0.524034609,89.56454204,0.001026227,20.717373,18239.3552
45,70,12.7249124,0.786051914,60.63946032,0.000288263,11.286589,16021.983
46,70,11.8288392,0.698712812,68.00750383,0.000408648,13.0253289,16652.2622
47,70,11.0368,0.628841531,75.30074513,0.000566856,15.1400615,17281.1032
48,70,10.3286724,0.571674119,82.51085418,0.000771307,17.7380747,17912.9663
49,70,9.69367496,0.524034609,89.61976213,0.001031877,20.6860908,18547.4338
50,75,9.04503921,0.786051914,60.56434039,0.000338689,11.2813396,14411.9817
51,75,8.40818225,0.698712812,67.90224629,0.000479473,13.0193236,15017.1802
52,75,7.84466677,0.628841531,75.1573775,0.000663714,15.1367826,15623.9946
53,75,7.34002749,0.571674119,82.32168345,0.000900085,17.74556,16236.5161
54,75,6.88696995,0.524034609,89.37741671,0.001198381,20.7169508,16853.4325
55,75,9.94997054,0.786051914,60.58803909,0.000339144,11.2805466,14768.1201
56,75,9.24979619,0.698712812,67.93559573,0.000480415,13.0164062,15373.4489
57,75,8.63063704,0.628841531,75.20277871,0.0006657,15.1279246,15980.0151
58,75,8.07672266,0.571674119,82.38091644,0.00090439,17.7239547,16591.597
59,75,7.57976777,0.524034609,89.45159206,0.001207292,20.6741894,17206.9492
60,75,10.8549051,0.786051914,60.60774853,0.000339523,11.2798578,15106.735
61,75,10.091413,0.698712812,67.96345203,0.000481205,13.0139639,15712.1747
62,75,9.41661727,0.628841531,75.24071695,0.000667367,15.1204685,16318.5318
63,75,8.81344538,0.571674119,82.43058617,0.000908024,17.7057426,16929.3201
64,75,8.27260983,0.524034609,89.51413765,0.001214897,20.6381635,17543.3688
65,75,11.7598377,0.786051914,60.62452617,0.000339846,11.2793017,15430.0661
66,75,10.9330307,0.698712812,67.98713707,0.000481876,13.0119071,16035.599
67,75,10.2026006,0.628841531,75.27307005,0.000668788,15.1141753,16641.7813
68,75,9.5501867,0.571674119,82.4728353,0.000911139,17.6902259,17251.8891
69,75,8.96549378,0.524034609,89.56747267,0.001221463,20.6058576,17864.8217
70,75,12.6647712,0.786051914,60.63891704,0.000340123,11.2788217,15739.9116
71,75,11.7746521,0.698712812,68.00737026,0.000482452,13.0101118,16345.5232
72,75,10.9885903,0.628841531,75.30084492,0.000670013,15.1087377,16951.556
73,75,10.2869428,0.571674119,82.50923137,0.000913836,17.6768468,17561.0778
74,75,9.65840255,0.524034609,89.61354351,0.001227188,20.579443,18173.0554
75,80,9.0019622,0.786051914,60.5632054,0.000397791,11.2724697,14197.0307
76,80,8.36945821,0.698712812,67.90142355,0.000563514,13.0020569,14785.1798
77,80,7.81036914,0.628841531,75.15661355,0.000781076,15.1051102,15376.0502
78,80,7.31057884,0.571674119,82.31813006,0.001061963,17.6767327,15970.516
79,80,6.86238243,0.524034609,89.36735939,0.001419633,20.5972514,16567.5616
80,80,9.90251695,0.786051914,60.5830656,0.000398239,11.2718127,14552.9707
81,80,9.20707318,0.698712812,67.92932653,0.000564443,12.9995937,15141.2223
82,80,8.59267387,0.628841531,75.19457092,0.000783048,15.0978673,15731.8623
83,80,8.04392559,0.571674119,82.36774023,0.001066255,17.6582673,16325.5725
84,80,7.55211654,0.524034609,89.42941814,0.001428667,20.5609353,16921.287
85,80,10.8030756,0.786051914,60.59953351,0.000398612,11.2712302,14891.4192
86,80,10.0446903,0.698712812,67.95261689,0.00056522,12.9975311,15479.759
87,80,9.37498286,0.628841531,75.22638329,0.000784704,15.0918253,16070.2088
88,80,8.7772826,0.571674119,82.40922678,0.00106988,17.6428702,16663.2914
89,80,8.24188412,0.524034609,89.48164726,0.001436351,20.5303437,17257.8822
90,80,11.7036309,0.786051914,60.61360354,0.000398929,11.2707717,15214.6101
91,80,10.8823078,0.698712812,67.97242046,0.00056588,12.9957965,15803.0227
92,80,10.1572989,0.628841531,75.25328777,0.000786113,15.0866522,16393.3077
93,80,9.51065363,0.571674119,82.44464213,0.001072978,17.6302767,16985.8575
94,80,8.93167775,0.524034609,89.52626499,0.001442963,20.5041761,17579.4947
95,80,12.6041909,0.786051914,60.6255477,0.0003992,11.2703373,15524.3323
96,80,11.7199284,0.698712812,67.98931995,0.000566447,12.9942806,16112.8092
97,80,10.939618,0.628841531,75.27643324,0.000787326,15.0822084,16702.9547
98,80,10.2440408,0.571674119,82.47489418,0.001075655,17.6185966,17295.0386
99,80,9.62149551,0.524034609,89.56457836,0.001448715,20.4815368,17887.8579
100,85,8.95855566,0.786051914,60.54807205,0.000464811,11.2628467,14027.3514
101,85,8.33032967,0.698712812,67.88096462,0.000658712,12.9841186,14601.8871
102,85,7.7754878,0.628841531,75.12884532,0.000913849,15.0706419,15178.0049
103,85,7.2802439,0.571674119,82.27897521,0.001244849,17.6107969,15757.983
104,85,6.83655585,0.524034609,89.31102442,0.001669387,20.4873654,16341.101
105,85,9.85471568,0.786051914,60.56470518,0.000465251,11.26227,14383.1368
106,85,9.16392783,0.698712812,67.90437977,0.000659625,12.9820244,14957.7558
107,85,8.55410766,0.628841531,75.16070514,0.000915796,15.0644886,15533.7003
108,85,8.01020777,0.571674119,82.32053596,0.001249113,17.5955346,16113.0025
109,85,7.52319695,0.524034609,89.36292058,0.001678462,20.4560455,16695.0056
110,85,10.7508745,0.786051914,60.57862776,0.000465618,11.2618075,14721.4602
111,85,9.99752718,0.698712812,67.92393688,0.000660389,12.9802768,15296.1477
112,85,9.33273407,0.628841531,75.18726398,0.000917424,15.0593004,15871.9446
113,85,8.740185,0.571674119,82.35531684,0.001252707,17.5821332,16450.6813
114,85,8.20986232,0.524034609,89.40652791,0.001686166,20.4297301,17031.7533
115,85,11.6470343,0.786051914,60.59041804,0.00046593,11.2614102,15044.5416
116,85,10.8311275,0.698712812,67.94051221,0.000661038,12.9787954,15619.2877
117,85,10.1113596,0.628841531,75.20997708,0.000918815,15.0549585,16194.9637
118,85,9.47017293,0.571674119,82.38480552,0.001255772,17.5708572,16773.2139
119,85,8.89654689,0.524034609,89.44365962,0.00169278,20.4072827,17353.4963
120,85,12.5432006,0.786051914,60.6004824,0.000466196,11.2615332,15354.1686
121,85,11.6647287,0.698712812,67.95473885,0.000661595,12.9775232,15928.9695
122,85,10.8899903,0.628841531,75.22938852,0.000920011,15.0520592,16504.5391
123,85,10.2001663,0.571674119,82.41027779,0.001258423,17.5612151,17082.3754
124,85,9.58324813,0.524034609,89.47564579,0.001698523,20.3878855,17661.975
125,90,8.91484068,0.786051914,60.5200523,0.000540478,11.2523486,13889.2608
126,90,8.2908415,0.698712812,67.84246611,0.000766033,12.9662342,14453.7756
127,90,7.74011417,0.628841531,75.07610397,0.001063334,15.0355457,15017.8877
128,90,7.2491669,0.571674119,82.20669217,0.001450409,17.5463503,15585.5479
129,90,6.80970811,0.524034609,89.21133911,0.001949645,20.3818989,16156.4842
130,90,9.80658255,0.786051914,60.53411607,0.00054091,11.2518652,14244.9277
131,90,9.12040463,0.698712812,67.86220582,0.00076693,12.9644832,14809.5024
132,90,8.51503317,0.628841531,75.10298405,0.001065254,15.0311789,15373.4723
133,90,7.97573431,0.571674119,82.24156034,0.001454627,17.5328675,15940.6977
134,90,7.49323141,0.524034609,89.25473963,0.001958709,20.3549601,16510.5475
135,90,10.698324,0.786051914,60.54586378,0.000541271,11.2514698,14583.1515
136,90,9.94996962,0.698712812,67.87861105,0.000767679,12.9630041,15147.7749
137,90,9.28995729,0.628841531,75.12534056,0.001066856,15.0267839,15711.6243
138,90,8.70231142,0.571674119,82.27072348,0.001458172,17.5215965,16278.4867
139,90,8.17677227,0.524034609,89.29119449,0.001966381,20.3322711,16847.4294
140,90,11.5900676,0.786051914,60.55575394,0.000541576,11.2511133,14906.1473
141,90,10.7795347,0.698712812,67.8925598,0.000768315,12.9617623,15470.8143
142,90,10.0648818,0.628841531,75.14437002,0.00106822,15.0230818,16034.5629
143,90,9.42889357,0.571674119,82.29552593,0.001461198,17.5120536,16601.117
144,90,8.86032963,0.524034609,89.32206637,0.001972948,20.3129144,17169.2842
145,90,12.4818524,0.786051914,60.56424333,0.000541843,11.2507038,15215.6758
146,90,11.6091001,0.698712812,67.90454166,0.000768861,12.9606995,15780.4099
147,90,10.8398075,0.628841531,75.16073912,0.001069394,15.0199091,16344.0724
148,90,10.1554816,0.571674119,82.31683572,0.001463806,17.5038409,16910.3602
149,90,9.54389783,0.524034609,89.34869745,0.001978639,20.296203,17477.8618
150,95,8.86628185,0.786051914,60.8140859,0.000635415,11.2830235,13811.4486
151,95,8.25103342,0.698712812,67.78661115,0.000886535,12.9460598,14329.9577
152,95,7.70431602,0.628841531,74.99991173,0.001230863,15.0001464,14884.5602
153,95,7.21746939,0.571674119,82.10301584,0.001680304,17.4815881,15442.9598
154,95,6.78201205,0.524034609,89.07053966,0.002262387,20.2787515,16003.356
155,95,9.75814116,0.786051914,60.49163456,0.000625963,11.2403814,14130.9351
156,95,9.07654423,0.698712812,67.80330833,0.000887415,12.9445614,14685.5772
157,95,8.47551793,0.628841531,75.02265686,0.001232747,14.9957093,15240.0604
158,95,7.94062134,0.571674119,82.13247073,0.00168446,17.4701315,15797.9533
159,95,7.46239575,0.524034609,89.10734271,0.002271274,20.2561165,16357.5775
160,95,10.6454436,0.786051914,60.50160244,0.000626317,11.2400486,14469.0759
161,95,9.90205461,0.698712812,67.81732719,0.000888152,12.9433316,15023.762
162,95,9.24672385,0.628841531,75.04157638,0.00123432,14.9919681,15578.1424
163,95,8.66378278,0.571674119,82.15689511,0.001687945,17.4604814,16135.6094
164,95,8.14279805,0.524034609,89.13752894,0.002278876,20.2364494,16694.5844
165,95,11.5327487,0.786051914,60.50997486,0.000626617,11.2397419,14792.0012
166,95,10.7275677,0.698712812,67.82905166,0.000888774,12.9422526,15346.7246
167,95,10.017932,0.628841531,75.05758967,0.001235656,14.9887844,15901.019
168,95,9.38694778,0.571674119,82.17769287,0.001690913,17.4512817,16458.1267
169,95,8.82321083,0.524034609,89.16315256,0.002285403,20.2196754,17016.5491
170,95,12.4246902,0.786051914,60.51702266,0.000627505,11.2178873,15098.1239
171,95,11.5530801,0.698712812,67.83917519,0.00088931,12.9413425,15656.2549
172,95,10.7891413,0.628841531,75.07140329,0.001236807,14.9860574,16210.475
173,95,10.1101149,0.571674119,82.19567795,0.001693478,17.4443342,16767.2755
174,95,9.50363071,0.524034609,89.18530852,0.002291048,20.2052724,17325.2226
175,decision,decision,decision,maximize,minimize,minimize,minimize
176,Reactor Temperature (C),Residense time (hr),Benzen to acids ratio (w/w),NB_Yield % (mol NB/mol C6H6),DNB_Mol_Yield (mol DNB/hr),CO2e (kg/hr),Total Cost ($)
