R_T,ResTime,B2A_ratio,NB_Yield,DNB_Yield,CO2e,TOTALCOST,computation_t,experiment_t,strategy,NB_Yield_variance,NB_Yield_noise,rmse_train_spectral,NB_Yield_R_T_lengthscale,NB_Yield_ResTime_lengthscale,NB_Yield_B2A_ratio_lengthscale,DNB_Yield_variance,DNB_Yield_noise,DNB_Yield_R_T_lengthscale,DNB_Yield_ResTime_lengthscale,DNB_Yield_B2A_ratio_lengthscale,CO2e_variance,CO2e_noise,CO2e_R_T_lengthscale,CO2e_ResTime_lengthscale,CO2e_B2A_ratio_lengthscale,TOTALCOST_variance,TOTALCOST_noise,TOTALCOST_R_T_lengthscale,TOTALCOST_ResTime_lengthscale,TOTALCOST_B2A_ratio_lengthscale,iterations
DATA,DATA,DATA,DATA,DATA,DATA,DATA,METADATA,METADATA,METADATA,METADATA,METADATA,METADATA,METADATA,METADATA,METADATA,METADATA,METADATA,METADATA,METADATA,METADATA,METADATA,METADATA,METADATA,METADATA,METADATA,METADATA,METADATA,METADATA,METADATA,METADATA,METADATA
46.104796054659644,0.02703683489191345,0.9961247626823679,14.514587,0.0,10.023423,2505.9458,58.17529845237732,0.01078033447265625,TSEMO,1.2571982491560554,9.999999747378752e-05,18.422247044589177,1.5220259447952913,0.03032978469619558,1.3945074384162075,1.1668320057443722,9.999999747378752e-05,2.358997443993845,0.26756488759606367,2.263403563922547,1.0191849724779356,9.999999747378752e-05,1.4760415836203147,0.040469919562465845,0.8876646367344623,1.1786117973603403,9.999999747378752e-05,0.6866390394634313,0.02929763664181378,0.7591849451043859,45
74.99305037143037,0.010314155838107186,0.8704867180392333,16.420567,1.1823175e-05,10.207224,4337.268,65.36957025527954,0.016578197479248047,TSEMO,1.302886783239884,9.999999747378752e-05,14.85794707371948,0.6093009540377756,0.16346898725375203,0.27613372996885005,0.8917204959736347,9.999999747378752e-05,0.9583656629683142,0.489776263547119,1.0553234618762553,1.0614928767531595,9.999999747378752e-05,0.6745739132577816,0.10840594966285173,0.3686626141079273,0.8808324718895129,9.999999747378752e-05,0.6365929406350994,0.11950356373577957,0.37488614097430095,12
54.149274822443495,0.026101824032165877,0.6891394210691746,19.030338,1.2578714e-05,10.644888,4745.028,65.4467601776123,0.028928756713867188,TSEMO,0.977126120602143,9.999999747378752e-05,19.38574404722597,1.1423882581332359,0.02885425902878552,1.3150122927901184,0.7584833492418503,9.999999747378752e-05,2.038041038688935,0.28032787479739896,1.9830462136879268,0.8999982485720139,9.999999747378752e-05,1.0870080396882553,0.04508608860654298,0.8807899385715434,1.0500433378666842,9.999999747378752e-05,0.38758852805186067,0.06926986556761713,0.6699451992618445,26
76.54657328909168,0.011611655972739665,0.6613983167166034,21.462387,2.5706448e-05,10.56935,4462.9775,64.45776081085205,0.011649608612060547,TSEMO,0.9487416024623121,9.999999747378752e-05,21.756003822976016,1.1043949453122164,0.02859176047433639,1.2498351861639825,0.7507909469736778,9.999999747378752e-05,1.9800661343401658,0.282669797712826,1.9209164117542026,0.8820561264189508,9.999999747378752e-05,1.0213765041093152,0.045415454192487374,0.8192161558928026,1.0159375885302344,9.999999747378752e-05,0.42865388438239505,0.07596489846304508,0.7443044610948122,25
81.97489737537718,0.015584278734244283,0.9739779326288288,22.518028,3.3575074e-05,10.097433,4259.616,58.98510766029358,0.016367673873901367,TSEMO,1.232195421821721,9.999999747378752e-05,15.078989313113723,1.2494785343302728,0.0350400269676217,1.481024312067992,0.8680095611309869,9.999999747378752e-05,2.1634414405988354,0.2818274546531536,2.217730780764645,1.0080852735227417,9.999999747378752e-05,1.2253115413856768,0.048541329098646384,1.0307212004081607,0.8805757937451749,9.999999747378752e-05,0.41201499318053814,0.03650648039163693,0.7495439272700313,33
83.67754362470885,0.01233230639903643,0.7292808762176095,24.00121,4.328756e-05,10.507349,4218.157,57.15990471839905,0.010902881622314453,TSEMO,1.2067072170289377,9.999999747378752e-05,19.065134919668537,1.4446715863467057,0.029778850441433195,1.4113002301686364,1.2508369112013467,9.999999747378752e-05,2.470707756997329,0.2657530259499024,2.2859418711694763,1.0948679644785244,9.999999747378752e-05,1.5699559747373555,0.042712115855729114,0.9032659744369282,1.188956939836449,9.999999747378752e-05,0.7733836678114903,0.030500448098610203,0.7289557754630068,50
60.816029951892205,0.0217631226660418,0.35994512888497865,25.344675,5.5098568e-05,11.3421755,5636.165,64.54151058197021,0.010811328887939453,TSEMO,1.3611431970716217,9.999999747378752e-05,17.33261002492659,1.4072352707764708,0.03352770399615203,1.3789306389660294,1.0743652549202,9.999999747378752e-05,2.2871389009918532,0.2755930400405962,2.2103204673475374,0.9945246377348917,9.999999747378752e-05,1.3311630138217805,0.042292988238814055,0.9121868463049281,1.094053555417086,9.999999747378752e-05,0.6259932838974784,0.032392172508490004,0.7039369186466368,41
94.67767360323073,0.014073736501227702,0.9056269081026034,26.721577,6.9126036e-05,10.315436,4086.6929,53.90153431892395,0.011371135711669922,TSEMO,1.3315177856816247,9.999999747378752e-05,21.446114634949026,1.3335189857962473,0.033590153005025485,1.4544531302734756,1.078156681108876,9.999999747378752e-05,2.2120577828692403,0.27813567194308564,2.2004126621127478,1.002013534220702,9.999999747378752e-05,1.2213923104188027,0.04199329310619963,0.9854036336316045,1.0501369020397404,9.999999747378752e-05,0.5734054167000617,0.03383219031317444,0.673801272658105,40
80.25223069989372,0.025938729924216142,0.7709734732576053,31.340565,9.6006595e-05,10.975141,5519.7173,59.407941818237305,0.012166976928710938,TSEMO,1.0745034288810305,9.999999747378752e-05,19.237751145380066,1.1945123963363222,0.03164117843834327,1.4239684479587003,0.8387810957039822,9.999999747378752e-05,2.0630498575520413,0.2923922599059638,2.1480221230062826,0.9651975984715653,9.999999747378752e-05,1.1606478913857006,0.04673023143472397,0.9577412480087399,1.1531568739447564,9.999999747378752e-05,0.4459098363444254,0.05576209054902158,0.7465636052431892,29
70.72735964380547,0.04076688666706152,0.9999375511595746,31.454218,0.00012104247,10.832422,5778.65,93.9401330947876,0.011496782302856445,TSEMO,1.2717275225459577,9.999999747378752e-05,17.60570557809339,1.302893655782161,0.03520929122379243,1.519160713850022,0.8905548946877122,9.999999747378752e-05,2.1770423796745146,0.27868507073952326,2.1984956635108666,1.0287134116123284,9.999999747378752e-05,1.2935355297149866,0.047644722445389476,1.082520256989453,0.9398631099954522,9.999999747378752e-05,0.4774582275426227,0.03160260039566464,0.7750262883637962,34
80.55186751253154,0.017039980138777694,0.2393568181614535,36.292046,0.00013375278,11.8678055,6965.358,55.38679218292236,0.01124715805053711,TSEMO,1.3222018370035196,9.999999747378752e-05,21.953428194312625,1.3133803241181534,0.033638313499861454,1.4148420753465525,1.0873423823681958,9.999999747378752e-05,2.1778510275466574,0.27932212919009225,2.1269387607905275,0.999814993494862,9.999999747378752e-05,1.2499540139044507,0.0424806400381368,0.957991902653794,1.053291496323872,9.999999747378752e-05,0.5349657320028045,0.0345015727415803,0.7406174260676676,39
89.35386375055666,0.014912974095756926,0.4459293227448942,36.82824,0.00014710243,11.669252,5131.3193,58.05405235290527,0.0119476318359375,TSEMO,1.4146853406294215,9.999999747378752e-05,18.91733813709304,1.4106324560035375,0.03779078642201565,1.5871558961941863,0.9783570230074082,9.999999747378752e-05,2.264798634273045,0.28124722738920344,2.2819860250951773,1.1056931597392998,9.999999747378752e-05,1.3644948488707485,0.05076322712322518,1.1443854466753864,0.922520336634957,9.999999747378752e-05,0.47599147268927855,0.03869445597369757,0.6811018447219653,37
91.14119455109665,0.0262882761127044,0.6460279818673417,40.052044,0.00018222832,11.675593,5952.016,58.877135276794434,0.010470867156982422,TSEMO,1.1975987850211185,9.999999747378752e-05,20.438812573224272,1.47548900031336,0.029058380025194865,1.3763329204721155,1.1260024822040808,9.999999747378752e-05,2.2769292181393905,0.26954510766213824,2.2832858553014965,0.9953430196607238,9.999999747378752e-05,1.434360997316067,0.040742574473763206,0.8733401787506335,1.1707825518034425,9.999999747378752e-05,0.6861377683227922,0.031115434630623863,0.7228832258810678,43
90.39594314726234,0.018700625014266226,0.32232371996802583,42.0,0.00019976804,12.17011,6359.7046,55.45808672904968,0.011144161224365234,TSEMO,1.4212932074869047,9.999999747378752e-05,18.14647632240842,1.4679027294675713,0.03393526329706991,1.381797296148082,1.1521461336588674,9.999999747378752e-05,2.3805314683392553,0.2797248831985125,2.2980365628702026,1.0370068811794884,9.999999747378752e-05,1.3777367035109858,0.04282171190148735,0.9168536329400572,1.1339600290779557,9.999999747378752e-05,0.6788161978744696,0.031120135765387046,0.7167878606060714,42
